id,sentence,type,crit,target
1,"Yesterday late, the bus driver who followed the kids wondered about the location of a hotel.",SR,followed,driver
1,"Yesterday very late, the bus driver who the kids followed wondered about the location of a hotel.",OR,followed,driver
2,"Yesterday late, the chef who distracted the cameraman poured the flour onto the counter.",SR,distracted,chef
2,"Yesterday very late, the chef who the cameraman distracted poured the flour onto the counter.",OR,distracted,chef
3,"Yesterday late, the children who woke the father bothered him about the trip to the beach.",SR,woke,children
3,"Yesterday very late, the children who the father woke bothered him about the trip to the beach.",OR,woke,children
4,"Yesterday late, the class that disliked the teacher skimmed the reading for the week.",SR,disliked,class
4,"Yesterday very late, the class that the teacher disliked skimmed the reading for the week.",OR,disliked,class
5,"Yesterday late, the dancer that loved the audience ignored some basic principles.",SR,loved,dancer
5,"Yesterday very late, the dancer that the audience loved ignored some basic principles.",OR,loved,dancer
6,"Yesterday late, the employees that noticed the fireman hurried across the open field.",SR,noticed,employees
6,"Yesterday very late, the employees that the fireman noticed hurried across the open field.",OR,noticed,employees
7,"Yesterday late, the farmer that approached the customers lifted the chickens from their coop.",SR,approached,farmer
7,"Yesterday very late, the farmer that the customers approached lifted the chickens from their coop.",OR,approached,farmer
8,"Yesterday late, the farmer who hired the rancher piled the seeds in long rows.",SR,hired,farmer
8,"Yesterday very late, the farmer who the rancher hired piled the seeds in long rows.",OR,hired,farmer
9,"Yesterday late, the firemen that called the residents attacked the house with high-powered hoses.",SR,called,firemen
9,"Yesterday very late, the firemen that the residents called attacked the house with high-powered hoses.",OR,called,firemen
10,"Yesterday late, the girl who watched the parents changed a critical part of the story.",SR,watched,girl
10,"Yesterday very late, the girl who the parents watched changed a critical part of the story.",OR,watched,girl
11,"Yesterday late, the investigator who phoned the agency considered Ms. Reynolds from accounting.",SR,phoned,investigator
11,"Yesterday very late, the investigator who the agency phoned considered Ms. Reynolds from accounting.",OR,phoned,investigator
12,"Yesterday late, the judge who addressed the witnesses noticed the defense attorneys.",SR,addressed,judge
12,"Yesterday very late, the judge who the witnesses addressed noticed the defense attorneys.",OR,addressed,judge
13,"Yesterday late, the manager who visited the boss  remembered some inconvenient facts.",SR,visited,manager
13,"Yesterday very late, the manager who the boss visited remembered some inconvenient facts.",OR,visited,manager
14,"Yesterday late, the mathematician who visited the chairman created a solution to the well-known problem.",SR,visited,mathematician
14,"Yesterday very late, the mathematician who the chairman visited created a solution to the well-known problem.",OR,visited,mathematician
15,"Yesterday late, the monkeys that watched the zookeepers charged the bars of their cage.",SR,watched,monkeys
15,"Yesterday very late, the monkeys that the zookeepers watched charged the bars of their cage.",OR,watched,monkeys
16,"Yesterday late, the movie star who visited the organizers proposed an annual prize.",SR,visited,star
16,"Yesterday very late, the movie star who the organizers visited proposed an annual prize.",OR,visited,star
17,"Yesterday late, the neighbor who observed the couple purchased the old Victorian house.",SR,observed,neighbor
17,"Yesterday very late, the neighbor who the couple observed purchased the old Victorian house.",OR,observed,neighbor
18,"Yesterday late, the pilot who delayed the ground crew remained on the runway for a long time.",SR,delayed,pilot
18,"Yesterday very late, the pilot who the ground crew delayed remained on the runway for a long time.",OR,delayed,pilot
19,"Yesterday late, the soldiers that helped the natives climbed the big rock that blocked the path.",SR,helped,soldiers
19,"Yesterday very late, the soldiers that the natives helped climbed the big rock that blocked the path.",OR,helped,soldiers
20,"Yesterday late, the speaker who entertained the economists predicted a good year for the industry.",SR,entertained,speaker
20,"Yesterday very late, the speaker who the economists entertained predicted a good year for the industry.",OR,entertained,speaker
21,"Yesterday late, the table top that rested on the box screwed directly to the legs.",SR,rested,top
21,"Yesterday very late, the table top that the box rested on screwed directly to the legs.",OR,rested,top
22,"Yesterday late, the trainer who called the jockey rubbed the horse’s skin.",SR,called,trainer
22,"Yesterday very late, the trainer who the jockey called rubbed the horse’s skin.",OR,called,trainer
23,"Yesterday late, the veteran who admired the coach defeated his greatest rival.",SR,admired,veteran
23,"Yesterday very late, the veteran who the coach admired defeated his greatest rival.",OR,admired,veteran
24,"Yesterday late, the visitor who introduced the student walked across the quad.",SR,introduced,visitor
24,"Yesterday very late, the visitor who the student introduced walked across the quad.",OR,introduced,visitor
